dataset,seed,n_cal_fraud,resample,target,achieved,alert_pct,degenerate
K,42,30,10,0.8,0.7907,0.7806,False
K,42,30,10,0.9,0.9021,20.9475,False
K,42,30,10,0.95,0.9417,41.3979,False
K,42,30,11,0.8,0.7249,0.5882,False
K,42,30,11,0.9,0.9417,41.3979,False
K,42,30,11,0.95,0.9888,82.6905,True
K,42,30,12,0.8,0.8191,0.9188,False
K,42,30,12,0.9,0.9417,41.3979,False
K,42,30,12,0.95,0.9417,41.3979,False
K,42,30,13,0.8,0.9417,41.3979,False
K,42,30,13,0.9,0.9888,82.6905,True
K,42,30,13,0.95,0.9888,82.6905,True
K,42,30,14,0.8,0.7249,0.5882,False
K,42,30,14,0.9,0.8266,0.9906,False
K,42,30,14,0.95,0.9417,41.3979,False
K,42,30,15,0.8,0.765,0.6932,False
K,42,30,15,0.9,0.8266,0.9906,False
K,42,30,15,0.95,0.8867,15.8278,False
K,42,30,16,0.8,0.8191,0.9188,False
K,42,30,16,0.9,0.8867,15.8278,False
K,42,30,16,0.95,0.9888,82.6905,True
K,42,30,17,0.8,0.8079,0.8425,False
